"Year","grp","sgrp","variable","value","value_base","diff_base","perc_base","Inflation","Infl2003Base","Infl2013Base","Infl2012Base","czsal_all","czsal_podnik","czsal_nepodnik","czsal_all_2003","czsal_podnik_2003","czsal_nepodnik_2003","phasal_all","phasal_all_2003","realchange","promenna","udaj","zmena","exekutiva","UO"
2003-01-01,"UO - Ostatní",FALSE,"Zam_schvaleny",4613,4613,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","schvaleny",FALSE,TRUE,TRUE
2003-01-01,"UO - Ministerstva",FALSE,"Platy_upr2skut",1.00024522510555,1.00024522510555,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upr2skut",TRUE,TRUE,TRUE
2003-01-01,"UO",TRUE,"AvgSal_uprMinusskut",-934.971951588203,-934.971951588203,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"Zam_skutecnost",100342,100342,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"Platy_upraveny",102158977,102158977,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upraveny",FALSE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"PlatyOPPP_skutecnost",4476717.46,4476717.46,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","skutecnost",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"OPPP_upraveny",183705,183705,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","upraveny",FALSE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"Platy_uprMinusskut",15165.9300000016,15165.9300000016,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"Exekutiva",TRUE,"OPPP_skutecnost",214383.49,214383.49,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","skutecnost",FALSE,FALSE,FALSE
2003-01-01,"PO",FALSE,"OPPP_uprMinusskut",-204754.69,-204754.69,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"OSS-SS",FALSE,"AvgSal_skutecnost",18083.3270867698,18083.3270867698,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"AvgSal","skutecnost",FALSE,TRUE,FALSE
2003-01-01,"UO - Ostatní",FALSE,"Zam_skutecnost",4235,4235,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","skutecnost",FALSE,TRUE,TRUE
2003-01-01,"UO - Ministerstva",FALSE,"Platy_upraveny",4365550,4365550,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","upraveny",FALSE,TRUE,TRUE
2003-01-01,"UO",TRUE,"OPPP_schvaleny",249053,249053,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","schvaleny",FALSE,FALSE,FALSE
2003-01-01,"SOBCPO",FALSE,"Zam_upr2skut",1.01684239899544,1.01684239899544,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Zam","upr2skut",TRUE,FALSE,FALSE
2003-01-01,"ROPO celkem",TRUE,"Platy_uprMinusskut",-444322.430000007,-444322.430000007,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"Platy","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"UO - Ministerstva",FALSE,"PlatyOPPP_upr2skut",1.00138506395711,1.00138506395711,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","upr2skut",TRUE,TRUE,TRUE
2003-01-01,"UO",TRUE,"OPPP_uprMinusskut",10282.48,10282.48,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"OPPP","uprMinusskut",TRUE,FALSE,FALSE
2003-01-01,"OOSS",FALSE,"PlatyOPPP_schvaleny",12545862,12545862,0,1,1.001,1,1.267399532,1.226911454,16430,16149,17692,16430,16149,17692,21590,21590,1,"PlatyOPPP","schvaleny",FALSE,FALSE,FALSE
